"Periodo","Emisiones_de_dióxido_de_carbono_total_por_el_sector_Energía",
"2019","490,764.12",
"2018","494,070.98",
"2017","499,325.54",
"2016","535,568.91",
"2015","494,298.96",
"2014","486,562.55",
"2013","487,619.46",
"2012","487,068.36",
"2011","495,065.14",
"2010","480,763.49",
"2009","495,991.98",
"2008","512,522.9",
"2007","471,095.94",
"2006","443,865.1",
"2005","433,418.81",
"2004","417,404.12",
"2003","408,454.92",
"2002","412,265.59",
"2001","393,369.06",
"2000","397,055.09",
"1999","383,000.08",
"1998","394,475.78",
"1997","372,277.53",
"1996","350,170.93",
"1995","330,756.74",
"1994","341,343.93",
"1993","321,293.99",
"1992","318,971.08",
"1991","317,662.79",
"1990","306,533.43",
