year,value,label,unit,source
2005,21.458,NEET total (8.6.1),% jóvenes 15-24,worldbank
2006,21.3,NEET total (8.6.1),% jóvenes 15-24,worldbank
2007,21.089,NEET total (8.6.1),% jóvenes 15-24,worldbank
2008,21.913,NEET total (8.6.1),% jóvenes 15-24,worldbank
2009,22.144,NEET total (8.6.1),% jóvenes 15-24,worldbank
2010,22.177,NEET total (8.6.1),% jóvenes 15-24,worldbank
2011,21.77,NEET total (8.6.1),% jóvenes 15-24,worldbank
2012,21.099,NEET total (8.6.1),% jóvenes 15-24,worldbank
2013,20.437,NEET total (8.6.1),% jóvenes 15-24,worldbank
2014,20.25,NEET total (8.6.1),% jóvenes 15-24,worldbank
2015,19.716,NEET total (8.6.1),% jóvenes 15-24,worldbank
2016,19.498,NEET total (8.6.1),% jóvenes 15-24,worldbank
2017,18.701,NEET total (8.6.1),% jóvenes 15-24,worldbank
2018,18.412,NEET total (8.6.1),% jóvenes 15-24,worldbank
2019,18.299,NEET total (8.6.1),% jóvenes 15-24,worldbank
2020,20.052,NEET total (8.6.1),% jóvenes 15-24,worldbank
2021,17.918,NEET total (8.6.1),% jóvenes 15-24,worldbank
2022,16.824,NEET total (8.6.1),% jóvenes 15-24,worldbank
2023,15.913,NEET total (8.6.1),% jóvenes 15-24,worldbank
